Country,GDP,Population,GDP_Per_Capita,Region,Life_Expectancy,Mean Years of Schooling,Development Status
Gabon,20220,2200000.0,9190,Africa,66.0,7.8,Developing
Gabon,20220,2200000.0,9190,Africa,66.0,7.8,Developing
Gabon,20220,2200000.0,9190,Africa,66.0,7.8,Developing
Gabon,20220,2200000.0,9190,Africa,66.0,7.8,Developing
Gabon,20220,2200000.0,9190,Africa,66.0,7.8,Developing
Gabon,20220,2200000.0,9190,Africa,66.0,7.8,Developing
Gabon,20220,2200000.0,9190,Africa,66.0,7.8,Developing
Congo,5350,5500000.0,972,Africa,64.0,6.1,Developing
Iran,359700,84000000.0,4282,Eastern Mediterranean,76.0,8.0,Developing
Iran,359700,84000000.0,4282,Eastern Mediterranean,76.0,8.0,Developing
Turkey,819000,84000000.0,9750,Europe,77.0,7.6,Developing
Turkey,819000,84000000.0,9750,Europe,77.0,7.6,Developing
Egypt,404100,104000000.0,3885,Eastern Mediterranean,71.0,6.4,Developing
Egypt,404100,104000000.0,3885,Eastern Mediterranean,71.0,6.4,Developing
Czechia,281800,11000000.0,25618,Europe,79.0,12.8,Developed
Slovakia,116500,5400000.0,21574,Europe,78.0,11.6,Developed
Slovakia,116500,5400000.0,21574,Europe,78.0,11.6,Developed
Dominican Rep.,94240,11000000.0,8567,Americas,74.0,8.2,Developing
S. Sudan,12000,11000000.0,1090,Africa,57.0,3.2,Developing
Eritrea,2065,3500000.0,590,Africa,66.0,3.9,Developing
Somaliland,1600,3500000.0,457,Africa,58.0,3.5,Developing
Yemen,26980,30000000.0,899,Eastern Mediterranean,66.0,2.8,Developing
Syria,64000,18000000.0,3555,Eastern Mediterranean,71.0,6.5,Developing
Kyrgyzstan,21000,6500000.0,3230,Europe,71.0,10.8,Developing
Laos,18000,7300000.0,2465,Western Pacific,67.0,5.2,Developing
North Korea,40000,25000000.0,1600,Western Pacific,72.0,,Developing
South Korea,1640000,52000000.0,31538,Western Pacific,83.0,12.2,Developed
Taiwan,602000,24000000.0,25083,Western Pacific,80.0,12.0,Developed
W. Sahara,906,600000.0,1510,Africa,70.0,,Developing
Bosnia and Herz.,19500,3300000.0,5909,Europe,77.0,9.0,Developing
Macedonia,10600,2100000.0,5047,Europe,75.0,9.7,Developing
